cod,denumire,regiune,subregiune,grupa unit 5,unit 5 grup 6,unit 6 grup 7,unit ord 7
419,Depresiune,I,A,a,,,
420,Masivul Ignis,I,A,a,3,,
421,Muntii Oasului,I,A,a,,0.1,
422,Piemontul Maramuresului,I,A,d,,0.2,
423,Culoarul Izei,I,A,d,,,0.0.3
424,Dealurile  Maramuresului (Culmea Viseului),I,A,d,,0.1,
425,Culoarul Viseului,I,A,d,,0.4,
426,Depresiune,I,A,b,1,,
427,Culmea Pop Ivan,I,A,b,1,1.1,1.1.1
428,Munti Farcau,I,A,b,1,1.1,1.1.2
429,Culmea Pietrosul Maramuresului (Bardaului),I,A,b,1,1.2,
430,Culmea Toroioaga,I,A,b,1,1.3,1.3.1
431,Culmea Cearcanu-Zimbroslaviile,I,A,b,1,1.3,1.3.2
432,Obcina Tapului,I,A,b,1,1.3,1.3.3
433,Culoarul Moldova - Sadova,I,A,c,1,,1.0.4
434,Obcina Curmaturii,I,A,c,3,3.1,3.1.1
435,Obcina Feredeului - Cl. Vejului,I,A,c,2,,
436,Culmea Tatarcii,I,A,c,1,1.1,
437,Depresiunea Lucina-Fundul Moldovei,I,A,c,1,,1.0.3
438,Depresiunea Cîmpulung Moldovenesc,I,A,c,1,,1.0.5
439,Depresiunea Vama,I,A,c,3,3.1,3.1.3
440,Depresiunea Moldovitei,I,A,c,3,3.1,3.1.2
441,Obcina Sacalesti - Cornu,I,A,c,,0.4,0.4.3
442,Obcinele Bucovinesti,I,A,c,,0.4,0.4.1
443,Obcina Lupcinei,I,A,c,,0.4,0.4.2
444,Obcina Putnei,I,A,c,3,,3.0.3
445,Obcina Humorului,I,A,c,3,,3.0.4
446,Depresiunea Humor,I,A,c,3,,3.0.5
447,Obcina Scorusetului,I,A,c,3,3.2,
448,Depresiune,I,A,c,3,,
449,Muntii Suhei,I,B,c,3,3.1,
450,Muntii Sabasei,I,B,c,3,3.2,
451,Depresiune,I,B,c,,,
452,Masivul Giumalau,I,B,c,1,1.1,
453,Masivul Rarau,I,B,c,1,1.2,
454,Masivul Grintiesul Mare,I,B,c,2,2.5,
455,Masivul  Budacu,I,B,c,2,2.4,
456,Masivul Bîrnaru,I,B,c,2,2.2,
457,Masivul Pietrosu,I,B,c,2,2.1,
458,Masivul  Omu,I,B,c,2,,2.0.7
459,Masivul Calimanel,I,B,c,2,,2.0.6
460,Masivul Grintiesul Mic,I,B,c,2,2.3,
461,Muntii Suhard,I,A,b,3,,
462,Depresiune,I,A,b,2,,
463,Muntii Bârgaului,I,A,e,1,,
464,Depresiunea Dorna Candreni,I,A,e,,2.3,
465,Depresiunea Bicazului,I,B,d,1,,1.0.2
466,Muntii  Corbului,I,B,d,3,3.1,
467,Depresiunea Dragoiasa (Glodului),I,B,c,2,2.8,2.8.1
468,Depresiunea Bilbor,I,B,c,2,2.8,2.8.2
469,Muntele Mezovesti,I,B,c,2,2.8,2.8.4
470,Depresiunea Borsec,I,B,c,2,2.8,2.8.3
471,Depresiunea Tulghes,I,B,c,2,2.8,2.8.5
472,Masivul Ceahlau,I,B,d,1,1.1,
473,Muntele Prisaca,I,B,d,3,3.2,
474,Muntele Negru,I,B,d,3,3.3,
475,Muntii Licas,I,B,d,2,2.1,
476,Culmea Berzunt,I,B,e,3,0.3,
477,Muntii Gosmanu,I,B,e,2,,
478,Muntii Tarcaului,I,B,e,1,,
479,Depresiunea Lunca,I,B,e,4,,4.0.1
480,Depresiunea Darmanesti,I,B,e,4,4.4,
481,Culmea Viscolului,I,B,e,5,5.1,
